Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
142,Keon Ellis,SG,24,SAC,57,21,172,19,41,.461,12,29,.417,6,11,.578,.612,5,6,.743,6,16,22,15,9,5,6,20,54
143,Joel Embiid,C,29,PHI,39,39,336,115,218,.529,14,36,.388,102,183,.556,.561,102,116,.883,24,86,110,56,12,17,38,29,347
144,Drew Eubanks,C,26,PHO,75,6,156,20,34,.601,0,0,1.000,20,33,.596,.607,10,12,.774,14,29,43,8,4,8,8,15,51
145,Tosan Evbuomwan,SF,22,TOT,17,8,216,21,42,.507,7,19,.375,14,23,.615,.592,10,15,.680,11,25,35,9,4,3,5,14,59
145,Tosan Evbuomwan,SF,22,MEM,4,0,185,10,38,.267,5,20,.250,5,18,.286,.333,0,0,,20,15,35,15,0,3,3,13,25
145,Tosan Evbuomwan,SF,22,DET,13,8,225,25,43,.571,8,18,.417,17,25,.688,.661,13,19,.680,8,28,35,8,5,3,6,14,70
146,Dante Exum,PG,28,DAL,55,17,198,29,55,.533,10,20,.491,20,35,.557,.621,10,12,.779,5,23,27,29,4,1,9,15,78
147,Bruno Fernando,C,25,ATL,45,2,152,24,42,.583,0,1,.000,24,41,.596,.583,14,21,.667,13,30,43,10,6,6,10,24,63
148,Dorian Finney-Smith,PF,30,BRK,68,56,284,32,75,.421,17,49,.348,14,26,.560,.535,5,7,.717,16,31,47,16,8,6,9,22,85
149,Adam Flagler,SG,24,OKC,2,0,70,5,35,.143,5,30,.167,0,5,.000,.214,0,0,,0,0,0,20,0,0,0,0,15
150,Malachi Flynn,PG,25,TOT,69,0,127,20,47,.418,8,24,.331,12,23,.513,.505,8,10,.732,3,13,17,19,6,1,9,10,55
150,Malachi Flynn,PG,25,TOR,31,0,153,18,44,.409,9,26,.350,9,18,.491,.511,5,7,.773,4,17,21,24,6,2,11,14,51
150,Malachi Flynn,PG,25,NYK,14,0,43,6,16,.391,3,9,.308,4,7,.500,.478,6,8,.818,0,4,4,4,1,0,2,2,22
150,Malachi Flynn,PG,25,DET,24,0,143,30,69,.430,10,32,.316,20,37,.528,.503,11,16,.684,3,15,18,21,8,1,11,9,80
151,Simone Fontecchio,SF,28,TOT,66,43,249,38,83,.460,20,51,.401,18,32,.551,.582,8,10,.818,10,28,37,15,7,3,10,17,105
151,Simone Fontecchio,SF,28,UTA,50,34,232,32,72,.450,18,47,.391,14,25,.560,.577,6,8,.800,10,25,35,15,6,4,10,16,89
151,Simone Fontecchio,SF,28,DET,16,9,303,57,119,.479,27,63,.426,30,56,.539,.592,14,16,.846,8,36,44,18,9,3,11,18,154
152,Jordan Ford,PG,25,SAC,6,0,37,7,12,.571,3,5,.667,3,7,.500,.714,3,3,1.000,0,3,3,3,0,0,2,0,20
153,Trent Forrest,SG,25,ATL,38,0,109,9,24,.378,1,3,.200,8,21,.400,.389,3,4,.765,3,11,13,24,3,1,5,7,22
154,Evan Fournier,SG,31,TOT,32,0,181,25,69,.357,10,41,.254,14,28,.505,.432,9,11,.806,2,17,18,15,9,2,7,15,69
154,Evan Fournier,SG,31,NYK,3,0,130,13,67,.200,7,50,.133,7,17,.400,.250,7,7,1.000,0,13,13,10,13,0,3,13,40
154,Evan Fournier,SG,31,DET,29,0,187,26,69,.373,11,40,.270,15,30,.512,.450,9,12,.794,2,17,19,16,9,2,7,15,72
155,De'Aaron Fox,PG,26,SAC,74,74,359,97,209,.465,29,78,.369,68,131,.522,.534,42,57,.738,9,37,46,56,20,4,26,26,266
156,Javon Freeman-Liberty,PG,24,TOR,22,6,183,25,56,.444,5,19,.238,20,37,.549,.484,15,16,.917,7,25,32,18,5,2,11,13,70
157,Alex Fudge,SF,20,TOT,6,0,67,10,25,.400,2,8,.200,8,17,.500,.433,3,3,1.000,7,2,8,0,5,0,3,3,25
157,Alex Fudge,SF,20,LAL,4,0,35,3,15,.167,0,5,.000,3,10,.250,.167,5,5,1.000,5,0,5,0,0,0,3,3,10
157,Alex Fudge,SF,20,DAL,2,0,130,25,45,.556,5,15,.333,20,30,.667,.611,0,0,,10,5,15,0,15,0,5,5,55
158,Markelle Fultz,PG,25,ORL,43,18,212,36,76,.472,1,4,.222,35,72,.487,.479,5,8,.697,13,19,32,28,10,3,12,15,78
159,Andrew Funk,SG,24,CHI,5,0,26,0,8,.000,0,6,.000,0,2,.000,.000,0,0,,0,0,0,0,2,2,0,0,0
160,Wenyen Gabriel,PF,26,MEM,5,0,162,16,44,.364,2,12,.167,14,32,.438,.386,0,10,.000,14,36,50,6,4,4,16,20,34
161,Daniel Gafford,C-PF,25,TOT,74,66,245,47,65,.725,0,0,,47,65,.725,.725,16,24,.674,26,50,76,16,9,21,10,31,110
161,Daniel Gafford,C,25,WAS,45,45,265,45,65,.690,0,0,,45,65,.690,.690,19,26,.706,29,51,80,15,10,22,10,33,109
161,Daniel Gafford,PF,25,DAL,29,21,215,50,64,.780,0,0,,50,64,.780,.780,12,19,.607,22,47,69,16,7,19,10,28,112
162,Danilo Gallinari,PF-SF,35,TOT,49,0,129,17,39,.437,6,19,.323,11,20,.546,.516,17,20,.857,4,18,22,11,3,1,5,10,57
162,Danilo Gallinari,PF,35,WAS,26,0,148,22,50,.435,8,25,.313,14,26,.552,.511,18,22,.839,5,25,29,12,2,1,5,10,70
162,Danilo Gallinari,SF,35,DET,6,0,150,20,37,.545,12,20,.583,8,17,.500,.705,35,40,.875,3,20,23,20,3,3,2,15,87
162,Danilo Gallinari,SF,35,MIL,17,0,91,8,22,.378,2,10,.176,6,12,.550,.419,9,11,.889,4,7,11,7,4,1,6,9,28
163,Darius Garland,PG,24,CLE,57,57,334,66,148,.446,23,62,.371,43,85,.501,.524,26,31,.834,5,21,27,65,13,1,31,17,180
